Zion Williamson,1,8.9,2.1,2.1,1.8,22.6,11.97,.702,.467,79,285,19
Ja Morant,2,5.7,10.0,1.8,0.8,24.5,-3.11,.612,.512,75,175,20
RJ Barrett,3,7.6,4.3,0.9,0.4,22.6,11.97,.532,.319,79,202,19
De'Andre Hunter,4,5.1,2.0,0.6,0.6,15.2,10.15,.618,.398,79,225,22
Darius Garland,5,3.8,2.6,0.8,0.4,16.2,7.79,.657,.296,74,175,19
Jarrett Culver,6,6.4,3.7,1.5,0.6,18.5,9.53,.542,.377,77,195,20
Coby White,7,3.5,4.1,1.1,0.3,16.1,11.35,.556,.293,77,185,19
Jaxson Hayes,8,5.0,0.3,0.6,2.2,10.0,11.46,.739,.592,83,220,19
Rui Hachimura,9,6.5,1.5,0.9,0.7,19.7,5.01,.639,.477,80,230,21
Cam Reddish,10,3.7,1.9,1.6,0.6,13.5,11.97,.499,.264,80,218,20
Cameron Johnson,11,5.4,0.7,0.8,0.6,12.9,-5.89,.527,.599,79,215,23
PJ Washington,12,7.5,1.8,0.8,1.2,15.2,10.29,.592,.489,80,228,21
Tyler Herro,13,4.5,2.5,1.1,0.3,14.0,10.29,.580,.231,77,195,19
Romeo Langford,14,5.4,2.3,0.8,0.8,16.5,10.10,.542,.491,78,215,20
Chuma Okeke,16,6.8,1.9,1.8,1.2,12.0,10.92,.597,.265,80,230,21
Nickeil Alexander-Walker,17,4.1,4.0,1.9,0.5,16.2,7.79,.586,.359,77,205,21
Matisse Thybulle,20,3.1,2.1,3.5,2.3,9.1,7.01,.542,.248,77,195,22
